Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes
barr,2010,30-May-10,brw6,b2,80,0,20,100,all,other 20% = ICE
barr,2010,30-May-10,brw6,d2,10,0,90,100,all,NA
barr,2010,30-May-10,brw6,d4,90,0,10,100,all,NA
barr,2010,30-May-10,brw6,f2,40,0,60,100,all,NA
barr,2010,30-May-10,brw6,f4,60,0,40,100,all,NA
barr,2010,30-May-10,brw6,h2,50,0,50,100,all,NA
barr,2010,30-May-10,brw6,h4,0,0,100,100,all,NA
barr,2010,30-May-10,brw6,h6,80,0,20,100,all,NA
barr,2010,30-May-10,brw6,j6,90,0,10,100,all,NA
barr,2010,30-May-10,brw6,j8,90,0,10,100,all,NA
barr,2010,30-May-10,brw8,d12,70,0,30,100,all,NA
barr,2010,30-May-10,brw8,f10,90,0,10,100,all,NA
barr,2010,1-Jun-10,brw6,f2,10,0,90,100,all,NA
barr,2010,1-Jun-10,brw6,h2,20,0,80,100,all,NA
barr,2010,1-Jun-10,brw6,h4,10,0,90,100,all,NA
barr,2010,1-Jun-10,brw6,j2,0,0,100,100,all,NA
barr,2010,1-Jun-10,brw6,j4,0,0,100,100,all,NA
barr,2010,1-Jun-10,brw6,j6,0,0,100,100,all,NA
barr,2010,1-Jun-10,brw6,l2,0,0,100,100,all,NA
barr,2010,1-Jun-10,brw6,l4,0,0,100,100,all,NA
barr,2010,1-Jun-10,brw6,l6,0,0,100,100,all,NA
barr,2010,1-Jun-10,brw8,d12,90,0,10,100,all,NA
barr,2010,3-Jun-10,brw6,d2,30,0,70,100,rdugan,NA
barr,2010,3-Jun-10,brw6,f2,10,0,90,100,rdugan,NA
barr,2010,3-Jun-10,brw6,f4,50,0,50,100,rdugan,NA
barr,2010,3-Jun-10,brw6,h2,70,0,30,100,rdugan,NA
barr,2010,3-Jun-10,brw6,h4,70,0,30,100,rdugan,NA
barr,2010,3-Jun-10,brw6,j2,80,0,20,100,rdugan,NA
barr,2010,3-Jun-10,brw6,j4,50,0,50,100,rdugan,NA
barr,2010,3-Jun-10,brw8,j12,90,0,10,100,adoll,NA
barr,2010,6-Jun-10,brw6,d2,60,0,40,100,bhill,NA
barr,2010,6-Jun-10,brw6,f2,10,0,90,100,bhill,NA
barr,2010,6-Jun-10,brw6,h4,60,0,40,100,bhill,NA
barr,2010,6-Jun-10,brw6,h6,90,0,10,100,bhill,NA
barr,2010,6-Jun-10,brw6,j2,0,0,100,100,bhill,NA
barr,2010,6-Jun-10,brw6,j4,0,0,100,100,bhill,NA
barr,2010,6-Jun-10,brw6,j6,0,0,100,100,bhill,NA
barr,2010,6-Jun-10,brw6,l2,0,0,100,100,bhill,NA
barr,2010,6-Jun-10,brw6,l4,0,0,100,100,bhill,NA
barr,2010,6-Jun-10,brw8,b8,90,0,10,100,rdugan,NA
barr,2010,6-Jun-10,brw8,b10,80,0,20,100,rdugan,NA
barr,2010,6-Jun-10,brw8,d10,90,0,10,100,rdugan,NA
barr,2010,6-Jun-10,brw8,d12,50,0,50,100,rdugan,NA
barr,2010,6-Jun-10,brw8,h12,80,0,20,100,rdugan,NA
barr,2010,6-Jun-10,brw8,j10,90,0,10,100,rdugan,NA
barr,2010,6-Jun-10,brw8,j12,70,0,30,100,rdugan,NA
barr,2010,6-Jun-10,brw8,l6,90,0,10,100,rdugan,NA
barr,2010,6-Jun-10,brw8,l10,90,0,10,100,rdugan,NA
barr,2010,6-Jun-10,brw8,l12,80,0,20,100,rdugan,NA
barr,2010,8-Jun-10,brw2,b4,80,0,20,100,abankert,NA
barr,2010,8-Jun-10,brw2,b6,80,0,20,100,abankert,NA
barr,2010,8-Jun-10,brw2,b8,70,0,30,100,abankert,NA
barr,2010,8-Jun-10,brw2,d8,90,0,10,100,abankert,NA
barr,2010,8-Jun-10,brw2,d10,90,0,10,100,abankert,NA
barr,2010,8-Jun-10,brw2,d12,90,0,10,100,abankert,NA
barr,2010,8-Jun-10,brw2,f10,90,0,10,100,abankert,NA
barr,2010,8-Jun-10,brw2,f12,90,0,10,100,abankert,NA
barr,2010,8-Jun-10,brw2,h10,80,0,20,100,abankert,NA
barr,2010,8-Jun-10,brw2,j8,90,0,10,100,abankert,NA
barr,2010,8-Jun-10,brw2,j10,90,0,10,100,abankert,NA
barr,2010,8-Jun-10,brw2,l6,90,0,10,100,abankert,NA
barr,2010,8-Jun-10,brw2,l8,90,0,10,100,abankert,NA
barr,2010,8-Jun-10,brw6,b2,90,0,10,100,rdugan,NA
barr,2010,8-Jun-10,brw6,b4,90,0,10,100,rdugan,NA
barr,2010,8-Jun-10,brw6,d2,10,0,90,100,rdugan,NA
barr,2010,8-Jun-10,brw6,d4,50,0,50,100,rdugan,NA
barr,2010,8-Jun-10,brw6,d8,90,0,10,100,rdugan,NA
barr,2010,8-Jun-10,brw6,f2,0,0,100,100,rdugan,NA
barr,2010,8-Jun-10,brw6,f4,80,0,20,100,rdugan,NA
barr,2010,8-Jun-10,brw6,f8,90,0,10,100,rdugan,NA
